IC,Method,MSE,RMSE,R2
"[np.float64(-21.359340065538923), np.float64(-17.26822948106658), np.float64(-1.400630732648402)]",MAML,0.00017621100414544344,0.01327444929725687,0.995957612991333
"[np.float64(-21.359340065538923), np.float64(-17.26822948106658), np.float64(-1.400630732648402)]",PINN,0.0018063350580632687,0.04250100067131677,0.9597322344779968
"[np.float64(-21.359340065538923), np.float64(-17.26822948106658), np.float64(-1.400630732648402)]",Hybrid,0.00010598867811495438,0.010295080286960096,0.9974713325500488
"[np.float64(-21.359340065538923), np.float64(-17.26822948106658), np.float64(-1.400630732648402)]",RC(ESN),1.1803539418155365e-09,3.435627951067369e-05,0.9999999753660078
"[np.float64(-25.34316980399911), np.float64(-15.89737310852792), np.float64(-29.606819839130154)]",RNN,0.0022248364984989166,0.047168172515997656,0.9496418833732605
"[np.float64(-25.34316980399911), np.float64(-15.89737310852792), np.float64(-29.606819839130154)]",Transfer,7.546151027781889e-05,0.00868685848151211,0.9982385039329529
"[np.float64(-25.34316980399911), np.float64(-15.89737310852792), np.float64(-29.606819839130154)]",MAML,0.00019809871446341276,0.014074754508104671,0.9955172538757324
"[np.float64(-25.34316980399911), np.float64(-15.89737310852792), np.float64(-29.606819839130154)]",PINN,0.0017288537928834558,0.04157948764575456,0.960975170135498
"[np.float64(-25.34316980399911), np.float64(-15.89737310852792), np.float64(-29.606819839130154)]",Hybrid,0.000140442032716237,0.011850824136583794,0.996630847454071
"[np.float64(-25.34316980399911), np.float64(-15.89737310852792), np.float64(-29.606819839130154)]",RC(ESN),7.54210528841724e-08,0.0002746289367203908,0.9999984574233878
"[np.float64(23.91865122434399), np.float64(3.1340656126597963), np.float64(-19.94720233714179)]",RNN,0.0023397132754325867,0.04837058274853205,0.9478416442871094
"[np.float64(23.91865122434399), np.float64(3.1340656126597963), np.float64(-19.94720233714179)]",Transfer,4.531988452072255e-05,0.00673200449500166,0.9989409446716309
"[np.float64(23.91865122434399), np.float64(3.1340656126597963), np.float64(-19.94720233714179)]",MAML,0.00018538058793637902,0.01361545401139378,0.9957993626594543
"[np.float64(23.91865122434399), np.float64(3.1340656126597963), np.float64(-19.94720233714179)]",PINN,0.0018026959151029587,0.04245816664792486,0.9599621295928955
"[np.float64(23.91865122434399), np.float64(3.1340656126597963), np.float64(-19.94720233714179)]",Hybrid,0.00011673107655951753,0.010804215684607446,0.9972415566444397
"[np.float64(23.91865122434399), np.float64(3.1340656126597963), np.float64(-19.94720233714179)]",RC(ESN),7.84596449450826e-09,8.857744913073677e-05,0.999999832002203
"[np.float64(25.73269100974416), np.float64(2.5252619290753273), np.float64(-27.494488122345608)]",RNN,0.0024100844748318195,0.049092611204048,0.9445292353630066
"[np.float64(25.73269100974416), np.float64(2.5252619290753273), np.float64(-27.494488122345608)]",Transfer,5.422861431725323e-05,0.007364008033486468,0.9986609816551208
"[np.float64(25.73269100974416), np.float64(2.5252619290753273), np.float64(-27.494488122345608)]",MAML,0.00016704069275874645,0.01292442233752621,0.9959644675254822
"[np.float64(25.73269100974416), np.float64(2.5252619290753273), np.float64(-27.494488122345608)]",PINN,0.00185191270429641,0.04303385532689826,0.9576476216316223
"[np.float64(25.73269100974416), np.float64(2.5252619290753273), np.float64(-27.494488122345608)]",Hybrid,0.0001279747230000794,0.011312591347700993,0.9968042373657227
"[np.float64(25.73269100974416), np.float64(2.5252619290753273), np.float64(-27.494488122345608)]",RC(ESN),3.336462634711895e-08,0.0001826598651787495,0.9999992524436347
"[np.float64(1.492610397720778), np.float64(8.408552430859487), np.float64(18.039489818784638)]",RNN,0.0021627952810376883,0.04650586286735994,0.950779914855957
"[np.float64(1.492610397720778), np.float64(8.408552430859487), np.float64(18.039489818784638)]",Transfer,4.5437616790877655e-05,0.006740743044418594,0.9989079833030701
"[np.float64(1.492610397720778), np.float64(8.408552430859487), np.float64(18.039489818784638)]",MAML,0.00018143079068977386,0.013469624741980522,0.9958365559577942
"[np.float64(1.492610397720778), np.float64(8.408552430859487), np.float64(18.039489818784638)]",PINN,0.0016738278791308403,0.040912441617811574,0.9619998931884766
"[np.float64(1.492610397720778), np.float64(8.408552430859487), np.float64(18.039489818784638)]",Hybrid,0.00011054232163587585,0.01051391086303645,0.9973258972167969
"[np.float64(1.492610397720778), np.float64(8.408552430859487), np.float64(18.039489818784638)]",RC(ESN),3.533904360471427e-10,1.879868176354775e-05,0.9999999923152417
"[np.float64(20.09513110143662), np.float64(-14.842066190857047), np.float64(28.09641076651704)]",RNN,0.00264541432261467,0.0514335913835955,0.9439502358436584
"[np.float64(20.09513110143662), np.float64(-14.842066190857047), np.float64(28.09641076651704)]",Transfer,2.6623230951372534e-05,0.005159770435917913,0.9994023442268372
"[np.float64(20.09513110143662), np.float64(-14.842066190857047), np.float64(28.09641076651704)]",MAML,0.0001623409043531865,0.012741307011181643,0.9964184165000916
"[np.float64(20.09513110143662), np.float64(-14.842066190857047), np.float64(28.09641076651704)]",PINN,0.0020344851072877645,0.04510526695728299,0.9571186900138855
"[np.float64(20.09513110143662), np.float64(-14.842066190857047), np.float64(28.09641076651704)]",Hybrid,0.00010975528857670724,0.010476415826832536,0.9975159764289856
"[np.float64(20.09513110143662), np.float64(-14.842066190857047), np.float64(28.09641076651704)]",RC(ESN),4.1254534491037165e-11,6.422969289280244e-06,0.9999999991384355
"[np.float64(-2.025711917409467), np.float64(-14.154529808707679), np.float64(2.9627050689643113)]",RNN,0.0016800710000097752,0.04098866916612169,0.9486802220344543
"[np.float64(-2.025711917409467), np.float64(-14.154529808707679), np.float64(2.9627050689643113)]",Transfer,7.561180245829746e-05,0.008695504727058543,0.9976699948310852
"[np.float64(-2.025711917409467), np.float64(-14.154529808707679), np.float64(2.9627050689643113)]",MAML,0.00015413489018101245,0.012415107336669002,0.9952461123466492
"[np.float64(-2.025711917409467), np.float64(-14.154529808707679), np.float64(2.9627050689643113)]",PINN,0.0012923850445076823,0.03594975722460003,0.9604731202125549
