IC,Method,MSE,RMSE,R2
"[-10.0, -10.0, 10.0]",RC(ESN),2.245219667546721e-11,4.7383748981551904e-06,0.9999999994915235
"[15.0, 15.0, 15.0]",RNN,0.0022465079091489315,0.04739734073921164,0.9499720931053162
"[15.0, 15.0, 15.0]",Transfer,4.528211502474733e-05,0.006729198691133092,0.9989359378814697
"[15.0, 15.0, 15.0]",MAML,0.00018466754409018904,0.01358924369088247,0.9958238005638123
"[15.0, 15.0, 15.0]",PINN,0.0017334893345832825,0.041635193461581066,0.9615044593811035
"[15.0, 15.0, 15.0]",Hybrid,0.00011451708996901289,0.01070126581152963,0.9972720742225647
"[15.0, 15.0, 15.0]",RC(ESN),2.565492177575578e-10,1.6017153859458234e-05,0.999999994293892
"[-15.0, -15.0, -15.0]",RNN,0.0025090910494327545,0.050090827997077016,0.9456250071525574
"[-15.0, -15.0, -15.0]",Transfer,3.745154390344396e-05,0.006119766654329555,0.999148428440094
"[-15.0, -15.0, -15.0]",MAML,0.00017807861149776727,0.013344609829356842,0.9960098266601562
"[-15.0, -15.0, -15.0]",PINN,0.0019357990240678191,0.04399771612331507,0.9582209587097168
"[-15.0, -15.0, -15.0]",Hybrid,0.00011257516598561779,0.0106101444846721,0.9974028468132019
"[-15.0, -15.0, -15.0]",RC(ESN),2.113878117623047e-08,0.00014539181949556335,0.9999995635882017
"[20.0, 0.0, 0.0]",RNN,0.0014564389130100608,0.03816331894647085,0.9533726572990417
"[20.0, 0.0, 0.0]",Transfer,4.4563301344169304e-05,0.0066755749822894886,0.9985952377319336
"[20.0, 0.0, 0.0]",MAML,0.00028532318538054824,0.016891512228943514,0.9911025166511536
"[20.0, 0.0, 0.0]",PINN,0.0011320142075419426,0.03364541881953534,0.9637762904167175
"[20.0, 0.0, 0.0]",Hybrid,8.318192703882232e-05,0.009120412657266245,0.9972987174987793
"[20.0, 0.0, 0.0]",RC(ESN),8.861706516228783e-11,9.413663748099772e-06,0.9999999973122907
"[0.0, 20.0, 0.0]",RNN,0.00230007222853601,0.047959068261758483,0.9477948546409607
"[0.0, 20.0, 0.0]",Transfer,3.4559368941700086e-05,0.005878721709836254,0.9991868138313293
"[0.0, 20.0, 0.0]",MAML,0.0001844074431573972,0.01357967021534018,0.9957768321037292
"[0.0, 20.0, 0.0]",PINN,0.0017688320949673653,0.04205748559968089,0.9599793553352356
"[0.0, 20.0, 0.0]",Hybrid,0.00010304323950549588,0.010151021599104982,0.9975399374961853
"[0.0, 20.0, 0.0]",RC(ESN),6.304635091780539e-10,2.510903242217935e-05,0.9999999856172993
