IC,Method,MSE,RMSE,R2
"[-1.7042916942190418, -0.24390806634902218, -2.1397037912841474]",RNN,4.465020901989192e-05,0.006682081189262214,0.9982650279998779
"[-1.7042916942190418, -0.24390806634902218, -2.1397037912841474]",Transfer,0.0001866372040240094,0.013661522756413701,0.9921171069145203
"[-1.7042916942190418, -0.24390806634902218, -2.1397037912841474]",MAML,0.0057115997187793255,0.07557512632327733,0.6749544143676758
"[-1.7042916942190418, -0.24390806634902218, -2.1397037912841474]",PINN,9.17613142519258e-05,0.009579212611270605,0.9973068833351135
"[-1.7042916942190418, -0.24390806634902218, -2.1397037912841474]",Hybrid,0.00018938322318717837,0.013761657719445661,0.9925544857978821
"[-1.7042916942190418, -0.24390806634902218, -2.1397037912841474]",RC(ESN),5.058976423856016e-06,0.0022492168467837903,0.9998053766184035
"[0.8613226530440581, 1.7002843976376079, -0.5287848030992413]",RNN,5.0157792429672554e-05,0.007082216632500912,0.997992992401123
"[0.8613226530440581, 1.7002843976376079, -0.5287848030992413]",Transfer,0.00014769035624340177,0.012152792117180388,0.9947943091392517
"[0.8613226530440581, 1.7002843976376079, -0.5287848030992413]",MAML,0.00252424250356853,0.05024184016901182,0.9079614281654358
"[0.8613226530440581, 1.7002843976376079, -0.5287848030992413]",PINN,5.867105210199952e-05,0.00765970313406463,0.9977142810821533
"[0.8613226530440581, 1.7002843976376079, -0.5287848030992413]",Hybrid,0.00013286196917761117,0.011526576646065005,0.9949057698249817
"[0.8613226530440581, 1.7002843976376079, -0.5287848030992413]",RC(ESN),3.125866134495876e-06,0.0017680119158240636,0.9998566618478337
"[1.7634779174485997, -1.1216078275053154, -1.1919341668290404]",RNN,3.153472061967477e-05,0.005615578386922827,0.9981012344360352
"[1.7634779174485997, -1.1216078275053154, -1.1919341668290404]",Transfer,0.00012264576798770577,0.011074554979217258,0.993522584438324
"[1.7634779174485997, -1.1216078275053154, -1.1919341668290404]",MAML,0.004062099847942591,0.06373460479160901,0.8275404572486877
"[1.7634779174485997, -1.1216078275053154, -1.1919341668290404]",PINN,4.245415038894862e-05,0.006515684951633912,0.9972001910209656
"[1.7634779174485997, -1.1216078275053154, -1.1919341668290404]",Hybrid,0.00012928737851325423,0.011370460787200061,0.9928632378578186
"[1.7634779174485997, -1.1216078275053154, -1.1919341668290404]",RC(ESN),2.2128005299244813e-06,0.0014875484966630438,0.9998638289192424
"[0.552731917750563, -0.8159809488656138, -0.4966468492282583]",RNN,4.5323333324631676e-05,0.006732260639980576,0.9981136322021484
"[0.552731917750563, -0.8159809488656138, -0.4966468492282583]",Transfer,0.0001785063650459051,0.013360627419620125,0.9926210045814514
"[0.552731917750563, -0.8159809488656138, -0.4966468492282583]",MAML,0.0029178960248827934,0.05401755293312344,0.8761764168739319
"[0.552731917750563, -0.8159809488656138, -0.4966468492282583]",PINN,0.00010025199298979715,0.010012591721916816,0.9967131614685059
"[0.552731917750563, -0.8159809488656138, -0.4966468492282583]",Hybrid,0.00017608450434636325,0.01326968365660475,0.9925876259803772
"[0.552731917750563, -0.8159809488656138, -0.4966468492282583]",RC(ESN),6.322301603370816e-06,0.0025144187406577322,0.9996797418779345
"[1.0862255633067737, -0.9746752766781589, -0.28213581791058395]",RNN,3.782210478675552e-05,0.006149967868757975,0.9975621104240417
"[1.0862255633067737, -0.9746752766781589, -0.28213581791058395]",Transfer,0.00015725099365226924,0.012539975823432406,0.992741048336029
"[1.0862255633067737, -0.9746752766781589, -0.28213581791058395]",MAML,0.0038425729144364595,0.06198849017710029,0.811690628528595
